iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1
49,-0.9930532588492194,-0.0034281097518996627,-0.7875566158411087,-0.022722195774148746,-0.9959030042372571,0.0019702182663038415,-1.3455290860839946,-1.0972156708093639,-0.8837937220317774,0.009252312486952616,-0.9936039660462501,0.010716739725415207,-1.1326951142832606,0.1498058636140477,-0.9980599089259234,0.0015389019581894675,-1.020829609318511,0.002223712136524242,-0.9943619788391674,-0.03919292176281529
50,-0.9973337399590504,-0.002788624090534906,-0.7333878356880689,-0.22689716248700964,-0.9934596401126009,0.0015772794066742802,-1.700974136891652,-0.5972156708093639,-1.1394444811280424,0.06842144386980407,-0.995650154419384,-0.0025483188749418004,-0.9687955852084518,0.08345939715866417,-0.993111225461726,0.009310442293583715,-0.9823377400362672,0.0012711200372501291,-1.0002344643805539,-0.05728088044312342
51,-0.999682978010809,-0.00209864336714012,-1.134523102958509,-0.05482425739670363,-0.9923016001577338,0.001706928931555065,-2.053567831658266,-0.09721567080936389,-1.0821869424059174,-0.004706450954843594,-0.9940846127097456,-0.007663938187600799,-0.9823983341326123,-0.013854021969000069,-0.9907766235662039,0.0023506404324714104,-0.9594950305520712,0.0009190703966198079,-0.9974300905539015,0.005124549322041434
52,-0.9995397701720455,-0.001489056746816294,-1.01724777796446,0.09660018573054116,-0.9929392375849428,0.0017985236328146607,-1.553567831658266,-0.1364393842352711,-0.8877769163042583,-0.054861228936219905,-0.9931258871087909,0.007064552603832183,-0.9971138338839121,-0.06963084130050688,-0.9934757807639863,-0.0035717467033217504,-0.9927545887135084,0.0014238240024588944,-0.994791598862054,0.04880280274841798
53,-0.9905221446695944,0.0004929070649814181,-0.9079066079683215,0.13567063795071854,-0.995257321781655,0.0018366873047014325,-1.053567831658266,-0.4640256083827846,-0.988026313502517,-0.03275057157969254,-0.9930292171755642,0.011393557745771898,-1.0018306092829288,-0.04060190932536839,-1.0018960002242245,-0.005366116845146377,-1.0166905218967346,0.0019983330235847554,-0.9923599522685298,0.05102860023950535
54,-0.9920149214301838,-0.0005546941429614269,-1.0137325208578356,0.05788310472844585,-0.9961568744977345,0.0017089273392649857,-1.3583176796584095,-0.8373659035792508,-1.0650361865397149,0.0019555125296018896,-0.9949164257107626,0.0002699694760147364,-0.9693523106629716,0.05844080689025377,-0.9969434434065446,0.0012384591390318398,-0.9962511459913825,0.001826744241588163,-0.9977243170497809,-0.06298526273155124
55,-0.9957743458457118,-0.0006084255683765403,-1.0733152245940083,-0.015035545637221051,-0.9956189351453903,0.001386847717177139,-1.8583176796584095,-0.7175485912830515,-1.0668250491599682,0.01799230635332634,-0.9962374716854013,-0.007516542312815276,-0.9565900581458733,0.09671845935788956,-0.9919779037834249,0.004525269151461205,-0.9814694656990091,0.0013239015040208695,-0.9984402301858941,0.00038199816294078037
56,-0.997267576388423,-0.00020627878587174838,-1.0799860491217304,-0.038396521593779674,-0.995068466095282,0.0003293428664071492,-1.3583176796584095,-0.21754859128305148,-0.9743757246619038,-0.038037363345389846,-0.9951934729090135,-0.0013811456737864687,-1.0202462756693684,-0.10517094040217834,-0.9936020212569809,0.0027046071134768914,-0.9894226721798092,0.0006191191602002641,-0.9975103723856868,0.04468997831415429
57,-0.9935723253056445,0.00011330919956558804,-0.9945621081627745,-0.008902054803979889,-0.9945093911411506,-0.00048104101003303514,-1.0535807008088947,-0.23122345196990063,-0.9339043373948676,-0.02783313602515343,-0.9937342050952017,0.005957992186458063,-0.9904377816840156,-0.02263836600861352,-0.9982523048660875,0.00033557655786618963,-1.0010642939577377,0.0011926286866623327,-0.99725275068787,0.0028947926329066787
58,-0.9927143400218655,0.00015945185200980804,-0.9351613923434084,0.017173318791766954,-0.995087802347703,0.0008268115088601164,-1.5535807008088947,-0.7312234519699006,-1.0439803554245357,-0.016200260774537168,-0.9942237134035394,0.006881741096469109,-0.9658627489614997,0.06989482311737706,-0.9970482152931003,-0.0008099975038007945,-1.0015503008407551,0.00161304161510081,-0.9973595640092826,-0.030972798161743496
59,-0.9949932420752063,-0.0007508871133165872,-0.9967017267853842,0.009815183828555623,-0.9953547857348533,0.0009596339461955612,-1.667446395866845,-1.2312234519699006,-1.0160534461666402,0.011696520391914024,-0.9962548707785038,0.001328315874472007,-1.0063836170923288,-0.04603649534076083,-0.9952144185378102,-0.001293289497613497,-0.994614625707044,0.0005184846151798611,-0.9973880716717016,-0.04642384218690603
60,-0.9965043413738552,-0.0007325974740721672,-1.0372666234490042,-0.01607287064946855,-0.994983197430233,3.111251568412173e-05,-1.367493808771675,-1.263147894690567,-0.9871541619309766,0.02820817725245514,-0.9949212112822469,-0.0033976345955350155,-0.9906067525307535,-0.06154158104055003,-0.9937571207188685,-0.0007151082626669036,-0.9898199378370444,-0.0004913022709712434,-0.9984031332304895,-0.014873146737451347
61,-0.9971082953478333,-0.00019538147994014677,-0.9649236126845334,-0.0323319843272529,-0.9947230856169988,-0.0006188524856738859,-1.3942703945677306,-0.763147894690567,-0.9842992835289444,-0.002924586942684826,-0.9940448736786247,-0.00511083340569926,-0.9779189352965275,-0.020494914567085055,-0.9963620163031514,-0.0003726871114152599,-0.9917269093611677,-0.0007232990488717519,-0.9970630157483044,0.030104817062178976
62,-0.9940412165064654,-3.704159387562625e-05,-0.9653344372742764,0.012600260878972036,-0.9947170119587069,-0.00023110554707872965,-1.3629622430356663,-0.263147894690567,-0.9876693451117359,-0.021752359347653464,-0.9941922724061338,-0.00015073596344446216,-0.9792501584222613,0.01882923827621104,-0.997833588863761,-0.0007404767530066695,-0.996491017563851,0.0008094081216990347,-0.996469548577196,0.0422270762005542
63,-0.9925049364145214,-0.0005283282367301565,-1.0361603989435273,0.02187556436158019,-0.9950994525781852,0.0004204736731227484,-1.524594602206974,-0.3046273668635723,-0.9973883760919623,0.01168285959183266,-0.9959089638687568,0.004062197989982796,-0.9919019928374941,0.0037127920629739727,-0.9962972892304867,-0.0010749465629463983,-0.9969659882386281,0.001037107888375746,-0.9952335418785838,0.006428688614697753
64,-0.9963164238046291,-0.0005046348946676311,-1.0524371024006918,-0.0013964004585745662,-0.9953172049636889,0.00024324668187089533,-1.9345833994807067,-0.32262088469604305,-0.9927063829729689,0.02832817568494942,-0.9954440420368988,-0.000895041394309958,-1.0018486845015115,-0.00850643787162119,-0.9940388593096965,-0.0014072296658668927,-0.9962074386748607,0.00031787476182316217,-0.9949423182831171,-0.026556383491576574
65,-0.998267399825481,-0.00014036740742733256,-0.9498142480436074,-0.025607829213500296,-0.994881014108431,-0.00019823280531428055,-1.4345833994807067,-0.3606796253287441,-0.9857463375760258,0.005525501135421558,-0.9945012521191362,-0.0039326239806023655,-0.9967825325042035,0.001570326447341775,-0.9930867213322088,-0.001468538684446395,-0.9947882777532463,-0.00029140146298398887,-0.9990951553659339,-0.02636060408073709
66,-0.9966622713717271,0.00017141275708562744,-0.9627386964264345,-0.030053338652830025,-0.9947308496896236,-0.00011084975608765445,-1.1529585860850848,-0.186382566029077,-0.9853179111725174,-0.011596709269079072,-0.9942930691810716,0.00266700002383198,-0.9910240546960531,0.007950144427550598,-0.9963714443770547,0.0004167141895048184,-0.9939197411509936,-0.0006114684778661013,-0.9960372301396073,0.02402890567681919
67,-0.9924374047730334,-0.00031159713769508997,-1.0166877319474723,-0.01021778175453942,-0.9949929732910336,0.00015657558034710154,-1.2664616707997218,-0.40322447168874526,-0.9906065594677065,-9.65685700681073e-05,-0.9949317799891177,0.005325114142100367,-0.9954883609939653,-0.0014624251787248178,-0.9963382525327827,0.0007044931996910861,-0.9945917356019212,-0.0001829581143844688,-0.9942702721258686,0.018448550741205667
68,-0.9929409843183034,-0.0006862162285224765,-1.038921895961135,0.008454552846849539,-0.9951588473420249,0.000181593478186855,-1.490129392233237,-0.3800426703676949,-0.9953224989093484,0.008023142923455604,-0.9954302833912707,-0.00046420348783249125,-0.9985363030231976,-0.006180771384793764,-0.9940966121005183,-0.001380145436997719,-0.9956533182741791,0.0001157277105091503,-0.9980525843146658,-0.024260398438260715
